Comment,Label
250 k likes ineram sila arivuketta pundaika ithku karanam vivek obrai ila kajal ila aksara kakathanu innum sollala?,HATE
Ellam okay than....but antha ponnu aasa pattu love panni avanaiye kola panna thappu illaya...yosinga............,NON_HATE
Short film ah yum vittu vakalaya... Enada panni vachirukeenga,HATE
Super  i am waiting,NON_HATE
Any Nani and Surya mutual fans?,NON_HATE
தமிழ் நாட்ல இருக்குற சாதிய பைத்தியகார கூதியானுங்கள எல்லாம் ஓரே இடத்தில் பார்க்க ஒரு வாய்ப்பை தந்த மோகன் வன்னிக்கு சாரி பன்னிக்கு நன்றிகள்,HATE
Kekka bekka short film mathiri iruku,NON_HATE
"உங்க எல்லோரையும் பா. ரஞ்சித் எப்படி எல்லாம் கதர விட்டு இருக்காருன்னு இப்ப தான் புரியுது. அட்டகத்தி, மெட்ராஸ், பரியேறும் பெருமாள் இன்னும் எத்தனையோ படம் இன்னும் வர போகுது அதுக்கு எல்லோரும் மனச தேர்தி கொள்ளுங்க நண்பா",NON_HATE
Hit Like If U Felt Watching #Sarkar Movie,NON_HATE
Intha padamavuthu s.k ku nalla come back ah irukanum...,NON_HATE
Dance Illa p. Deva vai paarkave mudiyadhu pola,NON_HATE
"Love scenes la  Vera level thalaivar,",NON_HATE
இந்த படம் மாபெரும் வெற்றியடையும்.  #கமல்ஹாசன் ரசிகா்களின் வாழ்த்துக்கள்,NON_HATE
STR MASSSSSSSSSSSSSSS #ENIMEH NAMBA THAN DA,NON_HATE
Otha vaaya odachiruven thalapathiya pathu sirichirukka,HATE
B- Bhayakaramana A- Ajith I- In R-Rasigar A-Admitting  V-Vijay A-Anna A-Awesome <3,NON_HATE
Just 10 years apadiye elarum patha mathiri irukinga 🥳 padam vetriyadaya Vazthukal 🥳🥳🤩🤩,NON_HATE
Die Hard #Thala Fans Hit LIKE...,NON_HATE
"மணிரத்னம்,AR ரஹ்மான், வைரமுத்து, சந்தோஷ் சிவன்  தமிழ் சினிமா ல  இல்லல்ல இந்திய சினிமால யே கால் நூற்றாண்டுகளா(25 வருசம்) ஒரே team இல்லல்ல உண்மையான நண்பர்களா இருந்துகிட்டு இருக்காய்ங்கே னா அது இந்த team தான்  படம் எப்ப வரும் னு எதிர்பார்ப்பா இருக்கு.",NON_HATE
Singam Sinletha Varum  BAIRAVAA  Baikkiramma Varum,NON_HATE
Super semma mass from vijay fan,NON_HATE
"நாடகக் காதல்.....  குடும்பத்தோட பொண்ணு வீட்டுக்கு போய், வசதி வாய்ப்பை பார்த்து எவ்ளோ பணம் தேறும்,  நகை தேரும்,  சொத்து  பத்து தேறும்னு கணக்கு போட்டு கல்யானம் பண்ணி, ரெண்டு நாளோ மூனு நாளோ பார்த்தவன்/வ கூட அன்னிக்கி நைட்டே படுக்கறதுக்கு  பேரு தான் நாடகக் காதல்.",NON_HATE
வெற்றி பெற வாழ்த்துக்கள் கண்டிப்பாக திரையரங்கில் பார்க்கவேண்டும்,NON_HATE
Enagada traileriye verithanama yeduthurukinga...apo padam....screen kiliya poguthu...semmaaaaaaaa thalaivaa,NON_HATE
8000 dislike people should die as soon as posiible,HATE
இது சாதி படம் அல்ல பெண்களின் படம் ஒரு சில பேர் பண்ணும் தவறால் சாதிக்கு கெட்ட பேரு அதான் படம்,NON_HATE
ஜெயம்ரவி ௨ங்கமேல நல்ல மறியாதை இருக்கு தலைவரை நிங்கள்ளும்மா,NON_HATE
வெற்றி பெற வாழ்த்துக்கள்... வெள்ளாளர்  சார்பாக,NON_HATE
Marana bangam...Verithanam Overloaded to Surya Anna Fans...Hmm kola Mass pannuga Pangaligala...,NON_HATE
Goosebumps vantha vangala la like podungo,NON_HATE
Intha padam varanum samuga matrathirkana padam ...18k dislikes ithula ena theriuthu avlo poriki porikitu iruku ponnungala...,NON_HATE
MARVEL MEDIA MY CHANNEL. Pls visit subscribe,NON_HATE
Sirappana tharamana sambavatha inimel dha paakka porom,NON_HATE
0.41 look at the name tag vijay kumar,NON_HATE
#திரௌபதி சாதி வெறி படம்...சிறுத்தைகள்   அப்ப ப.ரஞ்சித் எடுத்தது என்ன #A படமாடா நாயே🤣,NON_HATE
அன்றைக்கு எங்கள் குல சாமி சொன்னது திரௌபதி திரைப்படம் இவண்.மாவீரன் தம்பி சரத்...🦁🦁🦁,NON_HATE
Both VCK & PMK Fraudu pasanga than da  En da itha padathula kaati engala makkala Jaathi kalavaram thoonduringa,NON_HATE
Manasu kulla irrundha kovam lam ippa வெட்ட வெளிச்சம் ஆகியிருக்கு .. நன்றி படக்குழு,NON_HATE
Theatre ellaam insure panni vachukkangappaa.. 2.00 la theatre ellaam kandam!,HATE
Naaa arasiyalukku varuvathu uruthi.....Rajini tells this dialog since 96. Semme joke.,HATE
Thalaivar vera level   Suriya ennoda uyir  Avaru oru rockstar,NON_HATE
Wow wow wow.... suriya Anna,NON_HATE
Comali 9looks teaser la varave Ella,HATE
அருமை.... 10000000%சிறப்பு........ வாழ்க. குடும்பத்தினரோடு சென்று திரையரங்கில் மட்டுமே  பார்ப்போம். இப்படிக்கு தேவர் மகன்.,NON_HATE
Jimmki kammal has more views 🤣,NON_HATE
U1 BGM massssssss verala level thala look semaaaaaa,NON_HATE
வாழ்த்துக்கள் நண்பா... சமூகத்தின் நடக்கும்  உண்மை சம்பவங்களை படமாக எடுத்ததற்கு நெஞ்சார்ந்த நன்றியைத் தெரிவித்துக்கொள்கிறேன்.. இது போன்ற படங்களை மென் மேலும் படைக்க வாழ்த்துக்கள்...,NON_HATE
Mani Ratnam kitta ippdi oru script huh... Omg... Vera level!!(,NON_HATE
panggaaligala 2 million likes varanum innum vegama like ah therika vidunka,NON_HATE
Ayyyo thalaialva Vera lvl confirm ellaflrume RAJINIFIED,NON_HATE
Atlee verumpaya illa. Trailer layae evlo azhaga Katha soldraan!!!,NON_HATE
Pa Ranjith paru Da unaku sc St quote job government job quarters ellam cancel pannanum,HATE
Kajal Agarwal is back I so happy,NON_HATE
Vijay sethupathy sir saggatamizanpadam edutha eppti odama iruku I am waiting makkal selvan🤩🤩🤩🤩🤩🤩🤩,NON_HATE
Kadasi word its super (oruthavanga mela visuvasatha katrathukaga innoruthavangala  asinga paduthathinga).,NON_HATE
thalaiva tharu maru marana mass vilayadalama,NON_HATE
2.04 .Rajini ah serupala adicha Maari irundhuchu,HATE
SK kagha paaka vandhavangha like pannungha,NON_HATE
But graphics sothapal panitanuga English Kara pottainga athan Padam late ayirichi,NON_HATE
அரசியலுக்கு வருவது உறுதி ... ரஜினி .... இது 1996  ... 🤣🤣🤣,NON_HATE
Anyone after NGK n Kaappaan teaser,NON_HATE
Friend nu FB la Like Kudukkara Friend  dunu nenachiya life be kudukkanu da,HATE
Ella scene summa therikuthu Kandipa veraleval blockbuster,NON_HATE
Gujarath patel inathin sarbaga vetri pera valthukkal,NON_HATE
unaku yaravathu palaya friendu irukangala...... nambatha....,NON_HATE
Statue odaikalam but b.r. kolkai alika mudiyathu,HATE
Surya anna huge fan from #mangalore #coastal_Karnataka #tulunadu,NON_HATE
Please telugu dubbed telugu danush fans,NON_HATE
Iron man fans dis like podunga intha vidio kku,HATE
pakathane pora Intha kaliyoda attatha 🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘,HATE
Marana mass ah irukke...song um trailer um...saavadi,HATE
Mersal ku siricha siripu viswasam movie ku illa..idhu enna da anil ku vandha sodhanai,HATE
Tamil trailer nachina vallu okka like here,NON_HATE
thala  mattum than original mass...bcoz others papaerla vilambaram kotuthutu poraku trailar release panittu sathanai pannittatha pithikuvanga thala mttum than vilambarame seiyamal kalakkuvaar....thalada..  ..,HATE
Ennada ipadi yeduthu vechurkingha ......paaaaaaaaaph,HATE
Kaakaa pudikaa sollalllaa........kaakaa vukaaa unna pudikudhu🤣🤣,HATE
Yevan ya camera man.... Semma Visuals.... Amazing....,NON_HATE
Ashok  selvan padam nampi pogala perusa onnum vachi seiya mataru,NON_HATE
Nerkonda paarvai trailer review -,NON_HATE
2 years aagiduchu innum movie varala,HATE
Trailer paka poren. RowThiram maari iruntha kandipa theatre,NON_HATE
Rajini Style maaa. Enna therikka vidalamaAAAAAAAAAA,NON_HATE
Trailer ah paatha Angaali Pangaali elam oru like podunga,NON_HATE
Mothathula viswasathuku bulb kudukkurathukagave yedutha mathiri iruku,HATE
VERITHANAM  Dhanush Fan From Sri Lanka,NON_HATE
"சமூக அரசியல் சார்ந்த படம், வெற்றி பெற வாழ்த்துக்கள்",NON_HATE
Kirrakkkkkkk  Style ka baap  Super star RAJINI,NON_HATE
Vivagam part 2 trailer mathri irkuu,HATE
Nadippin nayakan brilliant director selva sir compo u1 muzic cult in class loading,NON_HATE
****a vera levellllllllll trailer......  Masssssssssss gangsters......,NON_HATE
Paruda...ivaru lawyerlayaei rowdy lawyera irupar pola,HATE
Last dialogue semma  karthi Anna .... Nala panirukenga ....,NON_HATE
Hit Like Suriya Fans  Hit Like South Indian Hindi Fans,NON_HATE
Innaki Kaalaila(13-6-19) endhichadhum inga vandhavan yaru?,NON_HATE
100 times ku mela parthavangala like potutu ponga,NON_HATE
Vetrimaranivanukku mattum eppadi daa intha mathiri bgm kedakkurathu Hats off,NON_HATE
semma...pakka...kola mass...therri...perfect title...thalapathy  Ajak pans thevdiya pasangala apadiye vorama pongada amayanzz,HATE
Kaipulla Vijay Twitter la Trending agudhu,NON_HATE
Thalaiivaaaaaaaa🤣🤣🤣I'm waiting ughhthis Valentine's day program eh neenga dhan,NON_HATE
கொங்கு வேளாளர் கவுண்டர்கள் பேரவை சார்பாக படம் மிகப்பெரிய அளவில் வெற்றி பெற வாழ்த்துக்கள்... சாகட்டும் திருமா சக்கிலி,HATE
Thala Masssss......looks like a Hollywood movie......,NON_HATE
A wonderful nd amazing wtng 2 see,NON_HATE
Aruvi movie real fans hit like here guys,NON_HATE
unique concept hats off edho message solra satirical film pola.,NON_HATE
Morning endhirichadhum teaser paka vandhavanga laaam likee ah poduuuu  Kaappaan teaser vera level  2019 naanga dhaan da,NON_HATE
"நாடக காதல் கும்பல் கதற ஆரமித்து விட்டார்கள்,கதறல் சத்தம் அதிகமாவே கேக்குது,",NON_HATE
தாழ்த்தப்பட்ட மக்களின் நலனுக்காக தன் சொத்தை பங்கிட்டுக் அடைக்கலம் கொடுத்த மதிப்பிற்குரிய பசும்பொன் முத்துராமலிங்கத் தேவர் அவர்கள் வழியே சாதி மறந்து.....உணர்வுகளை மதித்து நபப்பவர்களின் சார்பாக படம் வெற்றி அடைய வாழ்த்துகிறோம்..,NON_HATE
India makaal sarbagae endhae padam vetri adayaae emadhu vazthukaal.. trailer wooowwwww,NON_HATE
Last scene vera level love u thala,NON_HATE
Surya     Luv u Thalaivaaaaa,NON_HATE
Padamna Ithu padam ....Semma message movie ....Great,NON_HATE
Single pasangha like me,NON_HATE
"நாடக காதலால்  உண்மையிலேயே அதிகம் பாதிக்கப்பட்ட வேளாளர், தேவர் , வன்னியர் சமுதாயங்களுக்கு இப்படம் சமர்ப்பணம் ஆகும்",NON_HATE
இந்த படம் தமிழ் சமுதாயம் மக்களுக்கு சிறந்த படமா இருக்கும்,NON_HATE
ennaikku neriya peru kitta illatha oru ketta palazhum en kitta erukku ajith fanzz okkurathu thalapathy fanz than masss,HATE
டிரெய்லர் ரிபீட் மோட் ல பாக்குறேன். அவிங்கனால பாதிக்கப்பட்ட குடும்பத்தில் ஒருவன்...,NON_HATE
Dislike adicha maannynmark naduviral namaskaram,HATE
What ah trailer  semma mass ah Iruku,NON_HATE
viswasam enga poga poguthunu theriyalaya. PETTA PARAAK,HATE
Dai neenga la loose mari caste language nu sanda pottu irukurapo Namma ellarum Indians nu oru jawan border la ninutu irukanga da sethuturuka da dai innum ah da neenga thirunthula grow up da we all are Indians,HATE
Trailer yangaluku  pedichirundha mattum like podugaa,NON_HATE
I am here after queen's trailer.,NON_HATE
Thala unna paththiddu irukkan. Seekkiram vaa thala,NON_HATE
ஒரு குடும்பத்தின் கதறலை படமா மாற்றி உள்ளிர்கள் வாழ்த்துக்கள் வன்னிய நன்பா,NON_HATE
"Karhtik Subburaj Mass Pannitinga ,Thalaivara supera kattirukinga thanks bro",NON_HATE
A Tamil movie going the Malayalam way ?,NON_HATE
Super படத்தை ஆவலோடு எதிர்பார்கிறோம். குடும்பத்தோடு அனைவரும் பார்ப்போம்....,NON_HATE
Namaku theva thavayanatha nama than adichu vanganum .... Nama edathuku nama than sanda seyanum....,HATE
751k likes reached aairuku pangalingala adichi thookalamaa,NON_HATE
Yarellam sarkar teaser pathutu vanthu itha pathingalo like podunga,NON_HATE
Thala Oda unmaiyana fan ahaa irrutha ilke podunga,NON_HATE
Viswasam trailer needs 20k likes to reach 1.4m likes,NON_HATE
sema sema sema no words ti say,HATE
Intha mari all irugathdigum nadu sathivanmaiyal alium,HATE
Simbu  n Jyothika Wil score much...,NON_HATE
Irukku theatrela kaadhu javvu pichikira alavukku DTS irukku,HATE
தாம்பரம் தமிழ் அய்யங்கார் சார்பாக இந்த படம் வெற்றி பெற வாழ்த்துக்கள்,NON_HATE
Aai... Yevanu kaachum ponnttaati pulla Sentiment irunthaa Oodi padhungkiru.Kola kaandula irukkan.Varraar thalaivaru....PETTA PARAAKKKKKK.....,HATE
"ரஜினிய கிண்டல் பண்றங்கிலா Wait & Watch, He doing something to people",HATE
அய்யோ இப்பவே படம் பார்க்கனும் போல இருக்கே 🤩🤩 காத்திருப்போம்...Semma hit Aagapoguthu,NON_HATE
come on surya fans 10 million views,NON_HATE
Thala mass dialogue u r great,NON_HATE
Thala pola varuma.... Semma Thala,NON_HATE
Oru vela PowerPaandi 2 vaa irukumoo🤔🤔  Trailer mass pannitaanga...  Petta vs Viswaasam,NON_HATE
வெச்சான் பாரு ஆப்பு..ட்ரைலர் க்ளைமாக்ஸ்ல.. சத்தியமா நான் விழுந்து விழுந்து சிரிச்சேன்..,NON_HATE
தமிழகத்தையே புரட்டிப்போடும் ஒரு திரைப்படமாக அமையும் வெற்றிபெற வாழ்த்துக்கள் வாழ்த்துக்கள் அண்ணா....,NON_HATE
இந்த படம் வெற்றியடிந்தால் அது நமது சமுதாயத்திற்கு கிடைத்த வெற்றி நம் வீட்டு பெண்களுக்கு கிடைத்த வெற்றி ஆகும்,NON_HATE
Sagapora unakku  sathi etharkku  Iyya  pasumpon,HATE
அனைத்து பெண்களும் பார்க்க வேண்டிய விழிப்புணர்வு படம்...,NON_HATE
Fight seen marana masssss thala killi killii killikiii,NON_HATE
Epo relese pannuvinga. Epdiyachum relese pannirunga....,NON_HATE
பரியேறும் பெருமாள் சமூக நீதிப் படமென்றால் ...  திரௌபதி யும் சமூகநீதி படம்தான்,NON_HATE
Engala minja yevanum illa ambalaya iruntha nerala va by duraisingam,HATE
ungalukku vayase agala sitty love u ma,NON_HATE
Now Kaappaan teaser marching towards 5m views & 400k likes,NON_HATE
Romba nalaiku apro na edhirpaarthamaadhri padam,NON_HATE
அடங்கவில்லை என்றால்  அடக்கம் செய்வோம்  மோகன்  ஜி   உங்களுக்காக நாங்கள் !!!!!,HATE
கடலூர் மாவட்டம் சமட்டிக்குப்பம் வீர வன்னியர்கள் சார்பாக இப்படம் வெற்றி பெற வாழ்த்துக்கள்,NON_HATE
Aama Mr. Pandey inga enna panraru??,NON_HATE
komali kadhadhan aga pogudhu padam otthikkum,HATE
படம் வெற்றி பெற வாழ்த்துக்கள். புரற்சி வெல்லட்டும்.,NON_HATE
Vijay sethupati mattum Villan na irundha vechiko padam flop thaan,HATE
varla varla vaa varla va Bhairava,NON_HATE
Ohhh aaa Telugu remake of RAVI TEJAS  BENGAL TIGER .....,NON_HATE
ஆதி படத்துல சிரிக்க போறாரு படத்த பாத்துட்டு நாங்க எல்லாம் விழுந்து விழுந்து சிரிக்கப் போறோம் வாழ்த்துக்கள் ஆதி,NON_HATE
Thalaivaa Pakka massssss only one super star,NON_HATE
No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,NON_HATE
Naan arasiyalukku varuvathu uruthi ......  Semma,NON_HATE
La la la.. Surviva.. Thala walk is just enough,NON_HATE
last bgm un azhaigil en idhayam than nilayail kathi song ah copy adichtan,HATE
Dec la yarala intha video pakkega avaga matum like poduga,NON_HATE
Pink padam paathuthaen hd print irruku yaaruku veanum,NON_HATE
அனைத்து சமுதாயமும் வரவேற்க்கின்றன. நாடக காதல் கும்பளை தவிர . எங்க அண்ணா வேற லெவல் . வாழ்த்துகள் மேகன் சத்ரியன் அவர்களே,NON_HATE
Very bad na ethur paartha alavukku illa,NON_HATE
Pariyerum perumal padam varum pothu mattum sonnigga. Ithuvum samuga padam tha. This 100 percentage true I support,NON_HATE
அனைத்து  முதலியார்கள் சார்பாக இந்த படம் வெற்றியடைய வாழ்த்துக்கள்.,NON_HATE
1m Views & 101k likes  #SK #Hero,NON_HATE
Vere level  last scene pwolli,NON_HATE
Tharumaru.. Thala I Love You,NON_HATE
Padam vera level Thiruma kuu vooooo   Ranjith Naiyee ku vooooo   Thirunelveli mavattam Senaithalivar sarbagaa   Padam  day's Oda valthukal   Mohan G vera level,HATE
படம் வெற்றி பெற வாழ்த்துக்கள்  வாழ்த்துக்களுடன்  பொட்டல் S.துரை யாதவ் போர்ப்படை  நெல்லை ஜில்லா,NON_HATE
குடியுரிமைக்காக 40 வருட ஆதாரத்தை காட்டிய இசுலாமியர்,NON_HATE
Srk fan plz dislike tha video,NON_HATE
1m likes varumnu solravagga like here,NON_HATE
Indha #Rakulpreet Vs #Suriya sandai kaatchi design la edhirpaakalaye   #NGKTrailer - repeat worthy,NON_HATE
I'm die hard fan from Sri Lanka,NON_HATE
Enaga Da keka beka short film ah perusa yeduthu vachirukiga,HATE
Final Rajini semma 🤣🤣ithu 96 Yaara yemaathireenga,NON_HATE
Very good film after long time,NON_HATE
Super chiyan sir your vere leval,NON_HATE
தெறிஞ்ச எதிரிய விட  தெறியாத எதிரிக்கு தான் அல்லு அதிகமா இருகனுனுனுனுனு தலைவா மாஸ்ஸ்ஸ்ஸ் பைரவா,NON_HATE
Thrill na mysskin unmaiya maiyama vachu edukkapatta kathaigala pathivu seivar...salute,NON_HATE
Therikke fans hit like arjun sir,NON_HATE
இந்த படத்திற்கு வன்னியர் மக்கள் வரவேற்கிறோம் இந்த படம் மாபெரும் வெற்றி அடைய வாழ்த்துக்கள் மோகன் அண்ணா,NON_HATE
Vilaba kula naidu sarbaga intha movie vetripera vazhukkal..,NON_HATE
Thairiyama dewali Ku va thalaiva  nanga irukom irupom 🤗,NON_HATE
Real time views 4.7M views n 400K likes,NON_HATE
Akshay Kumar - annen neenga bird ah ne,HATE
நீ ஓடி வந்த போதே உன் அப்பன் அங்க உசுர  விட்டிருப்பான்... சாதாரண வசனம் இல்லை... அப்பனின் வலி.....,NON_HATE
Unga ponnunga Enga Mela Asa padama iruntha sari,NON_HATE
Enna da idhu Viswasam bgm uh potrukinga!!!!,HATE
"Wow Surya Sir Neenga Unmaiyileye Vera level gethu kaatringa ,padathula neraya getup irukku pola Teaser Vera lvl .... I'm Very big Fan of K.V Anand Sir Movies                - By Thalapathy Fan",NON_HATE
Adeiii Talking Tom Piano music copy data,HATE
Sema anna Lv u karthi anna,NON_HATE
Agalathe song pathutu udane Inka than varan ...yarlam Enna Mari vanthinka,NON_HATE
Trailer payangarama irukku movie ku waiting,NON_HATE
Thamizh naatla evlo jaathi veri irukkunnu intha comments paatha theriyum.....thu.....,NON_HATE
Asuraan Padam Vanda appo..thaaltha patta odukka patta makkal kaana Padam la Vanda appo enga Da irunthiiga ... Pengal ku padukappu illa  Inga jaathi ku than pathuukappu theva paduthu... Anyways wishes from normal commons human without any SHITTY BRIDE from tamilnadu,NON_HATE
Nerkonda parvai nu solitu ellam avan seyal padatha eduthu vechirukanga ya,HATE
Topper thaan alanum arrear guys  naanga eduku alanum 🤗,NON_HATE
Paaaa Goosebumps... Such a heavy voice..,NON_HATE
It's looks like Ramayya vastavayya telugu movie 🤔🤔🤔🤔🤔🤔🤔🤔🤔,NON_HATE
Unlike panra nayeee un veetu ponnuku vara nilamaiyathan movie ya eduthurukanha k yaaa so support pannunga,NON_HATE
Thala Da i love u thala,NON_HATE
Awesome Vikram Anna Chance ye illa Pakkah,NON_HATE
Sema bro ana Yenaku seripa varala,NON_HATE
Jayam Ravi and kajal sema pair,NON_HATE
Ithu la oru trailer aah daa.. karumooo kaliyugam.. oru content ye ila..  epadi irukum 10 padam oreee direcgor ah vachu pana apaditana ... pudhusa yosingadaa..  Avan moonji mari iruku trailer,HATE
100 k cmt varanum frnds .... Cmt pls,NON_HATE
dhurvu natchathiram vituuttu poyum poi ivlo kevlamana padam pannuriye ...you are an idiot,HATE
Intha trailer ah megha akash kaaaga tha paathe...like podreen.....ulaga alazhii,NON_HATE
Thalapathy rasigan sarbaga valtukal Anna and intha Movi ode oru poster parta odane enaku Ithu verum sport padama irukathu Nu Tonici Horror ah mix pani iruntha Nalla irukum Nenaicen Aparum tha Teriuthu trailer le Sport Horror Nu Rombe ve wait pandren Intha padathuku,NON_HATE
Eppa suriya sir neenga enna getup potalum nala irukku sir,NON_HATE
KV Anand + Suriya+ mohanlal+ arya+ samuthirakani+boman Irani+ sayesha+ Chirag Jani+Harris jayaraj,NON_HATE
Semma trailer annna semmma love u aadhi annan,NON_HATE
"பரியேறும் பெருமாள், அசுரனை எல்லாம் ஏற்றக்கொண்ட  சமூகம் இந்த படத்தையும் ஏற்றுக்கொள்ள வேண்டும்..... மற்றவர்களால் தாழ்த்தப்படுவதும் உண்மை இந்த மாதிரி நாடக காதல் சம்பவமும் உண்மை.......மறுக்க முடியாது",NON_HATE
உண்மையான காதலை யாரும் எதிர்க்கவில்லை.. இரு வீட்டார் சம்மதம் இருந்தால் கல்யாணம் பண்ணி வாழுங்கள் உண்மையாக..   விருப்பம் இல்லா காதல் பல பிரச்சனைகளை தரும் குடும்பத்தில்... இதை விட மோசமானது நாடககாதல் என்னும் பெயரில் பெண்களை ஏமாற்றுவது அது எந்த சமுகம் செய்தாலும் குற்றமே அதை திரையில் தைரியமாக காட்டும் இயக்குனார் அவர்களுக்கு ஒவ்வொரு பெண் குழந்தையையும் தெய்வமாக பார்க்கும் அனைவரும் வாழ்த்தி இப்படத்தை தனது பெண் பிள்ளைகளுக்கு காட்டி விழிப்புணர்வு செய்ய வேண்டும்.....,NON_HATE
super Thalaivaaaa your styles appadiye irukku,NON_HATE
Yuvan +thala=deadliest combo... Dialogues  bgmyuvannnthalaaaaaa,NON_HATE
"Simran ,Rajinikanth & Vijay Sethupathi",NON_HATE
கேவி ஆனந்த் சார் சூப்பர் சூப்பர் மூவி வெயிட்டிங் ஃபார் ஆகஸ்ட் 30,NON_HATE
நம்ம பலமுறை பாத்து பரிச்சியாமனான முகங்களை வேற கோணத்தில் சற்றும் பதற்றமாக காட்டுவதே மிஷ்கினின் தனித்திறன்... வாழ்த்துகள்  மிஷ்கின் அண்ணா,NON_HATE
Ajith ku correct ah na movie ya nu therlaa mass irkathu pola,NON_HATE
Super  thala massss mass  massss,NON_HATE
மீண்டும் ஒரு மறுமலர்ச்சி வேண்டும்  நாடக காதல் கோஷ்டிகளுக்கு சரியான செருப்படி.... திருமா  & ரஞ்சித் சோழர் வகையறாக்கள் கதறல் 🤣🤣🤣🤣🤣🤣🤣,HATE
Idhu 96 ! Yaara emathura,NON_HATE
Oru mairum puriyala trailer la Shiva      enna Tha sollavaran konjam sollunga boss puriyera madiri,HATE
Apadi Elam nadakadhu  nadaka kodadhu.,NON_HATE
Marvel next level india awosome sk,NON_HATE
Padam vera leveluh irukum polaye 🤔🤔 Waitingle veriaaguthu Tharamana sambavam irukku,NON_HATE
தமிழ்நாட்டில் மிகவும் சிறுபான்மை சௌராட்டிர சமூகம் சார்பாக வாழ்த்துக்கள்...,NON_HATE
Indha padatha copynu solli evanum case podalaya da,HATE
Mugamoodiku moonu ticket irukku.. variya...,NON_HATE
THALA ya paakka Kaalaila ye vantomla,NON_HATE
கடைசில rajini ய வச்சு செஞ்சுடிங்களே டா,HATE
மதுரை மாவட்டம் முத்தரையர்கள் சார்பில் படம் வெற்றிபெற வாழ்த்துக்கள்..,NON_HATE
கும்பகோணம் பகுதி படையாச்சி சமுகம் சார்பாக படம் வெற்றி  பெற வாழ்த்துகள்.,NON_HATE
Super mass yean dislike poduringa... Unga ennam pol vaazhkai...,NON_HATE
vj Anna pinnitinga.....summa kili kilinu kilichitinga,NON_HATE
Nooooooòooooooooo words pa. Trailer semma massssa irrukku. Vera level....,NON_HATE
Malaysia Fans Hits Like For #Thalaivaa : ),NON_HATE
sema kevalama iruku...looks like baby ma deepa..,HATE
Karthik Anna  Vijay Anna  suriya Anna what a line up for him @lokesh Anna,NON_HATE
Ithukkum dislike podravangala nenacha than,HATE
Like comment pannitu thala tharidanam pathavanga inga like podunga,NON_HATE
Suriya annan and lalettan...  Paaa... semma.. katta waiting,NON_HATE
Love u thala by chiyan fan.. u always masssasaaaa... love uuuuuuu,NON_HATE
It's like irumbu kootai muratu singham fantasy flick tale..,NON_HATE
தமிழ் சினிமாவே திரும்பிப் பார்க்க போற படம் இதுதான்...!!  பெண்களை சாதி ரீதியாக நாடக காதல் வலையில் வீழ்த்தி பணம் சம்பாதிக்கவும் நாடக காதல் பன்றிகளுக்கு ஒரு பாடமாக இருக்கும்....  //2020 புரட்சி//,HATE
Get Rajnified All Thalaivar Fans....  Marana Mass Thalaivar....  Petta Paraak.....,NON_HATE
Ungala maathiri oru maanaketta jaathi ya paathathe ila da... Pollachi la  yevlo ponnu mela kai vachinga.... Appo yevan sunniya oombittu irunthinga...? Yenda baadu...!,HATE
overa adunu ippadi than da badu santhu thu,HATE
