Comment_clean,Label_id
kaalakanni rate. paalakayo winaama ratama muspenthu wenawaa..,1
kavalam mulamaha siruthaya adithu oda viitar athupola kaithi bigil mulamaha oda vida pohirar illaya thalapathy vijay,1
yuvan shankar raja music vera level,0
bigil : like kaithi : comment,0
ම⁣ගෙ සිම් එක මටත් හොරෙන් වෙන ගෑනු කෙනෙක්ගෙ නමට රෙජිස්ටර් කරලා..,0
"ஒடுக்கப்பட்ட, அடிமைப்பட்ட சமுதாயம் என்று சொல்லி சொல்லியே இத்தனை காலம் மற்ற சமூகத்தினரை கெட்டவர்களாகச் சித்தரித்த அனைத்து அரசியல் கட்சிகள், மாற்று மதங்கள், மற்றும் கேடு கெட்ட மீடியாக்கள்,  இது போக ரஞ்சித் போன்ற சமூக விரோத இயக்குனர் கூட்டம் அனைத்திற்கும் இந்தப் படம் ஒரு  எச்சரிக்கை.. காலம் மாறுகின்றது.",1
outstanding vfx output! hardwork never fails! thalaivaa! unga kaal thoosu kooda evanam illai!,0
yuvan ka maduum padatha kandipa pakanum ..semma mass yuvan i love you,0
இந்து சாதி வெறிபிடித்தவன் சார்பாக இந்த பிட்டு படம் நாசமாக போக வாழ்த்துகள்,0
கம்மவார் சங்கம் கம்மநாயுடு எழுச்சி பேரவை நாயுடு நாயக்கர் பேரவை தமிழ்நாடு கம்மவர் சங்கம் அனைத்தும் இந்த திரவுபதி வளத்தை வாழ்த்துகிறோம் இதுபோல மென்மேலும் பயன்பெறுமாறு சமுதாயத்திற்கு விழிப்புணர்வு ஏற்படுத்துமாறு கேட்டுக்கொள்கிறோம் மேலும் எங்களது சமுதாய மக்கள் அனைவரும் இந்த படத்தை பார்க்க ஏற்பாடு செய்வோம் வாழ்த்துக்கள்,0
super suriya anna u1 music vera level,0
happy birthday,0
"come to my point, last 07 month you guys send me bill for batz nikz tv which is not use by me.",0
al vijay in சரியான பழி வாங்கல்,1
appadi ellam nadakaadh.. nadakka koodathu. thala love from kerala,0
mage බාටෙල් sim ake no aka methana danna be.,0
kathi x nerkonda parvai mix,0
ennangada cmnt full ah ..matha state aalunga tha irukkangavjs,0
enna da full story trailer la solita,1
வணக்கம் டா மாப்ள விழுப்புரதில இ௫ந்து படம் 100 சதவீதம் வெற்றி பெறும் வாழ்த்துகள் டா,0
உடம்பு சிலுர்க வைக்கிறது .தல கடின உழைப்பை காட்டுகிறது.,0
ஆகஸ்ட் ல காப்பான் டிரைலர் பாக்குரவங்க லைக் பன்னுங்க..,0
i thnk kekka bekka short film oda feature film..but ipa search pana delete panitanga..climax sema touch ah irukum yarlam pathadhu,0
vera leval thala nee marana mass,0
jathi padatha vitutu vera padam edunga kani,0
ජරාජීර්ණ දේශපාලන මඩ ගොහුරුවට බහින්නෙ නැතුව හිටියනම් රංගන ශිල්පිනියක් විදියට වටිනව..,0
i am jayam ravi anna fan.,0
படம் வெற்றிபெற தேவேந்திர குல வேளாளர் சமூக மக்களின் சார்பாக வாழ்த்துக்கள்.,0
download the lebsack ntx​​ app & register your lebsack tv account to watch up to 108 live tv channels with up to 95 rewind & catch-up tv channels without the subscription fee! #lebsack #ntx​​,0
"கொங்கு மருத்துவர் சங்கம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் .. எந்த சமூகமாக இருந்தாலும்,அவரவர் பெண் பிள்ளைகளை வளர்க்க பாடுபடும் பெற்றோரின் நிலைமை இன்றியமையாதது..நாடக காதலின் பேரில் பெற்றோரின் நிம்மதியை தொலைத்து,பெண்ணுடைய வாழ்க்கையை தொலைக்கும் நாடக காதல் அறவே வேண்டாம்..அதற்க்காக ஜாதி,பணம்,மதம் இவற்றை கடந்து வரும் உண்மைக் காதல்(பெற்றோரின் அனுமதியில் நடந்தால்) வரவேற்க்கத்தக்கது",0
yennanagada intha padathula surya anna single ahh,0
ena thidirunu trending list la varuthu,0
bindu bindi tharaka kandu mal vile,0
thalaivar mass vijay anna gethu sasi sir waiting,0
teaser vanthathukea vaithearichala peasuranunga..  trailer vantha onnuku poiduvanga..  kelatu rasigargal..,1
trailer 2 பாகம் எப்போ படம் எப்போ அருமையான படம் வெளியான நல்லது  வெற்றி பெற்ற வாழ்த்துகள்,0
innum 1.3k like reach aagala quick ah thatti therika vidunga pangaalingala..,0
எது இந்த ஒரு பொம்பலைய ஐந்து பேர் பங்குபோட்டானுங்களே அந்த திரௌபதியா,0
தயவு செய்து இந்த படத்தை திரையரங்கில் பார்த்து இது போன்ற உண்மையை உடைக்கும் படங்களுக்கு ஆதரவு தரவேண்டும் நாம் சபாஷ் மோகன். உடையார் (நத்தமன்னர்) சமூகம் சார்பாக வாழ்த்துக்கள்,0
many many many many many many,0
vaa thalaivaa neethan thalaiva inga kingu,0
super thala all fans waiting 24th aug seekkiram vaa,0
விஸ்வகர்மா மக்கள் சார்பாக படம் வெற்றி பெற வாழ்த்தூக்கள்,0
1:36 pahh.. vere level! repeat panni paathaven ellam like pode! #thaledaa! #thale,0
dai ennaga da ajith scene vantha sirikka madikkira vijay sentiment scene la sirikkira,1
y r u not showing da cricket matche in chnnel eye,0
semma mass yenga anna surya vera level super,0
indvspak aavathu mudiyavathu.. waiting 4 10m views,0
illaya thalapathy na mass .. avaru mattum than mass,0
i get constant 60 mbps speed every time.proud to have a network like this in srilanka,0
நெருப்புச்சுடாின் நடனத்தமிழ் கருப்பையில் அமர்ந்து  தாய்ச்சொல் கேட்கும் கருவின் முதல் தமிழ் வரப்பு களையை மேய்ந்து சுவைக்கும் கன்றின் துள்ளல் தமிழ் கேட்டு மகிழ மக்கள் தொலைக்காட்சி நிகழ்ச்சிகளை 'யூ டியூப்' ல் காணுங்கள் நன்றி.,0
santhanam sir your talent  amazing,0
nalla illa ya sathyama..#mersal varattum ellathayum #mirattum #தமிழ்,1
bro in just 21 hours 9.8 m views,0
thank you,0
"karthik amazing , thalaiver rajini so young look semma pongal marana mass than🤗",0
sema mass movie. music sema mass.bgm sema mass,0
beethoven music ethuku misskin use pandraru,1
evvlovu comments tha like podarathu kai valikuthu pa. ..,0
valakampola onnum puriyala..padatha oru nallu vatti patha than puriyum pola,1
dislike because of rajini speech in thuthukudi,1
endrum engala oraee superstar ne than thalaivaa,0
தாழ்த்தப்பட்ட சாதியினர் தவிர வேறு யாரும் காதல் பண்ணல அப்படியா?,0
will hope,0
ஜெயலலிதா வாழ்க்கையை பற்றி தமிழ் மக்களுக்கு தெரியாதா ஓ நீ இயக்குனர் என்றதால என்ன வெண்ண வேணா கதைப்ப நாங்க கேட்டுடு இருக்கனும் போட இயக்குனர் சுண்**ணாம்பு ஜெயலலிதா எதற்காக இறந்தா யார் அந்த வில்லு (அம்புதான் யார்னு தெரியுமே) எல்லா புண்**ணாக்கும் எங்களுக்கு தெரியும் நீ ஏன் ஜெயலலிதா கதைய வச்சு இணையத்தள நாடகம் மற்றும் திரைப்படம் எடுக்க என்றும் எங்களுக்கு தெரியும் உன் நாடகம் எங்களிடம் அரங்கேறாது.,1
nkp likes 725k today evening kulla 1m likes varum saaho likes 110k,0
marana katu katuvom da..style ah .. super star..one and only,0
pakke thane porai intha kaaliyoda aatteththa,1
innum pink trailer pakkathave  ellam pathutu vanthu comment pannu..,0
ajith sir and kajal madam super pair,0
dhanush & manju varier combo..,0
enpt paka mudiyadhavanga idha pathu manasa thethikonga,0
miss you sir 😔,0
#sk  well and good..  #yuvan bgm..,0
apdiye aaluma doluma song paathutu adhuku oru like podunga,0
"ஆந்திரா & கர்நாடகா வன்னியர்கள் என்கின்ற அக்னி குல க்ஷத்திரியர், சம்பு குல க்ஷத்திரியர், திகளர், வன்னிய கவுண்டர் சார்பாக படம் வெற்றி அடைய வாழ்த்துக்கள்",0
adhi na hurt aagura maadhiri sentimental scenes lam varum pola iruku manasa kallaakika da soona paana,1
kathirupom ngk  rock surya mass,0
objection ur honour tavura vera dailogue ille pola,0
therikaa vidalamaanu kealvi yellam keadayadhu.. iranginaale theri dhaa,0
thawa hodata hit wenawa hilpert ogollo tick tok okata add karoth.,0
ajith sir neenga vera level,0
ovorutharukum onathu mela bothai enaku en kudumbathu mela bothai  ithe mathi irunthuthu kadasi dialogue 🤔 but trailer,0
i'm andhra surya fan bgm,0
frist looks super  songs semma trailer marana mass  i think movie vera level nu ninaikkuravagga marakkama like and comment  pannugga all 90 s kids or 2k kids 🤙,0
200k well soon 100k get well soon marana mass teaser,0
maranam mass maranam  vayasanalum onga style apdeya than erukku adha yaralayum onum panna mudeyadhu,0
පොන්න බාටෙල්..සිග්නල් නෑ..ඉදකින් ගූ හැත්ත,1
aaha..!! massdhan..!! aana eano thevar magan  shivaji  gnayabagam varduhu..!!,0
e bill web page isn't loading,0
இதில் உள்ள comments  படித்த பிறகுதான் தெரிகிறது தமிழகத்தில் இன்னும் ஜாதி வெறிபிடித்த  நாய்கள் உள்ளார்கள் என்று.  இவர்கள் இருக்கும் வரை ஜாதி ஒழியாது.  சில நாய்கள்  பல ஜாதி வெறிநாய்களை  பயன்படுத்திக்கொள்வதல்  இன்னும் ஜாதி அழியாமல் உள்ளது மனிதனை மனிதனாக வாழவிடுங்கள் ..,0
ada merch eka yannee mona chenal ekeeda,0
padam blockbluster thaa.. luv u thala,0
"konjam varusam munadi varaikum jaathi prechana oonju irunchu ipo p.ranjith, muthiah nu jaathi colour poosi samooga padamnu solli jaathi veri ya thirumba thoondi vidranunga ivanungala 1st direct pana kudathu nu ban pananum",1
ஜாதி மயிரு போங்கடா நீங்களும் உங்க வீட்டு ஜாதி  ஜாதி தலைல துக்குறவன் நல்லா இருந்தது சரிதரம் இல்ல தம்பி,1
poda ajith sinna paiyan da vijay than mass,1
apith enoo,0
ultimate end.. idhu 96' yaara emathuringaada.. :-),1
brilliant !! thalaivaa !! semma mass !!,0
thala mass nu nenacha like ah podu,0
mata dana ganna puluwan da mama inna thana wifi use karanna puluwanda kiyala,0
punchi hedakariye,0
නමුත් අනිත් ඒවට ගන්න ගියාම 1.50 ටැක්ස් කැපෙනවා.,0
marana mass acting .. vera level bgm .. selva sir super ..,0
"summa likes ,views al luthu pa",0
naatula ovv ounnm..oru vidhthamana  paithiyam  aaana ivanuku naatumelyie-a paithiyam..  surya mel paithima irkavanga  .. smash the like button,0
ennanga da 11 manikku viduren nu sollitu 10.30 ku vitteenga. ..irunthaalum vera level.. verithanam.. superstar fans like here,0
suryaa  ivanukku intha nattumeleye paithyamnammak unn meleye paithyam,0
11m on the way evening kulla vandhurum thalapathy daa..varalam varalam vaa varalam vaa bairavaa..eppum varum nu sollanuma neega solla vai thevai illa thalaivaa..pongal varuviga nu theriyum..i am eagerly waiting innum 46 days iruku sekaram pogatum..therijha edhiriya vida theriyadha edhiri dhan allu adhigama iruku..,0
ඊට පස්සෙ ගෙවල යූස් කරන උන්ටත් ස්ලෝ වෙනවා.,0
mannoda ponna compare panradhu epo than korayumo?? pengala objectify than panranga kadasila,0
මෝඩ චුන් ..,1
indha trailer pudichavanga enna commentkku like podu,0
මොකද කරන්නේ..,0
ඕනෝ..😀😀😁,0
indha trailer ha ha ha ha.,0
police uniform la prabhu deva vinai paarthu siritthavarkal mattum like pannu,0
ලෙබ්සැක් පොජ්ජ මහ කැකුලි පොජ්ජට මන්ද පොජ්ජ මකභාවනව,1
movie unlike adikunnadhu enthinanennariylla kandavarkkariyam movie ethra thrilling anennu,1
yethir patha alavuku trailer ila  sasikumar kattai eaduthu adichathu car parakuthu enaga da dai yebba sammi,1
தெறிக்குதா தெறி தெறி தெறி தெறி தெறி தெறி தெறி தெறி  தெறினு தெறினு தெறினு..,0
sliit eke online tiyena lectures study karanna data free da 😐,0
ඉන්ස්ට්රක්ෂන් වල කොහොම කොහොමද යන්නේ,0
1:27 mr.vandu court la adikadi ipdi la kattha koodathu,0
there is no way to pay my bill.,0
ennageda 19k views 57k like epdida,1
අලුතෙන් ෆයිබර් ඔප්ටික් එකක් ගන්න කීයක් වෙනවද 🙄,0
super star king of kings forever,0
vijay sethupathi anna bayangara mass said irukaru,0
quil app eka gerhold no ekata hadanna puluwanda,0
"intha decision enakku pidikkala, better plan venum",0
tamil saw movie ya irukkum nu nenaikuren,1
"அண்ணல் அம்பேத்கர் என்னும் போது ரத்தம் சூடு பறக்க இருக்கும் ,,அடிச்ச திருப்பி அடி jaibhemm",1
අම්මෝ එදා..😜🔫🤘🖕👌,0
looks like an lady verson of mr rajkumar,0
அரவிந்த் சாமிக்கு பதில் தல யும் அருண் விஜய்க்கு தளபதி விஜய்யும் பிரகாஸ் ராஜுக்கு அவரே விஜய் சேதுபதிக்கு விக்ரமும் சிம்புவுக்கு சூர்யாவும் இருந்திருந்தால் படு பயங்கர மாஸ் ஆக இருக்கும் ஆனால் இந்த இளைஞர்கள் இருப்பதால் வித்தியாசமாக இருக்கும்..,0
thalaivaa illaya super star dhansush anna,0
surya  trending in telugu anna superr #hbdiconicthalaajith,0
hip hop tamizha fans hit like,0
vijay fans parthavanga like podunga,0
pandey va paathavudan kubeernu sirichavanga like podunga,0
story short film la irunthu aataya poraaingya yaa.. gala baka taka baka.. but trailer awesome,0
chiyan sir ur look like young guy..,0
thanks vijay fans for like first time,0
மக்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்\r வசனங்கள் சிறப்பு\r இயக்குனருக்கு பாராட்டுகள் மற்றும் நன்றிகள்,0
youtube vedio upload krnna berida,0
41k dislike.. appa 41k muttapayaluga irukkankilla..,1
"கவுசல்யாவை புரட்சிப்பெண்ணாய் முன்னிருத்தும் சில அரசியல்வாதிகளே..மறுமணம் செய்தபோது பேட்டியில் சங்கரின் பெற்றோரிடம் சம்மதம் பெற்றேன் என்கிறார் ..அந்த சம்மதத்தை தன் பெற்றோரிடம் கேட்டிருந்தால் அம்மா,அப்பா சிறைச்சாலையிலும்,காதலன் கல்லறைக்கும் போயிருக்கமாட்டார்கள்..புரட்சி செய்கிரேனென்று குடும்பத்தை சீரழித்துவிடாதீர்கள்..",0
dislikes  mattum poda vantha nanbargaluku thala sollum mass dialouge at 2.05min..,0
vijay sethupathi..  .. mass thala nee..,0
thalapathy rasigan saarbaga vaalthukal thala..  ready to rage.. thala fans sirappa kondadunga.. trailer miga sirappu.. deadly effort thala,0
instead of being dickheads just give solutions for the god's sake !!,1
இந்த திரைப்படத்தை இயக்கிய நடித்த அனைவருக்கும் எனது மனமார்ந்த வாழ்த்துகள்,0
january 10 sweet sapda porom..varathu thalaivaru.. ooram othingiru.. petta paraak,0
උන් කිව්වා #775*630# කියන කෝඩ් එක lebsack ෆෝන් එකකින් ඩයල් කරාම දවසට රුපියල් 3යි සත ගානක් කැපිලා අන්ලිමිටඩ් මැසේජ්ස් ගහන්න පුලුවන් පැකේජ් එකක් ඇක්ටිව් වෙනවා කියලා. . .,0
ඊට පස්සේ ඒ රටේ හිටපු සත්ත්ව පොලීසිය හාවිගෙ ගේ ළඟ ඉන්න අර ඉබ්බගෙ ලැප්ටොප් එක අරන් පරීක්ෂා කළාලු.,0
kadunahama hadanne enna,0
திருச்சி 🦁முத்தரையர்🦁 மக்கள் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்,0
🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿data dage a sllith kapa ganna ona.ita psseth salli kapagnna ona 🖕🏿🖕🏿🖕🏿,0
vera level vikram anna sama,0
batz landline account no-004529515,0
என்னடா இது  பொன் மாணிக்கவேல்  பெயருக்கு வந்த சோதனை,0
தளபதிவிஜய்அண்ணாரசிகன் சாமிநாதன் கவுண்டர் சார்பாகஅருமை அருமை சபாஷ் மண்ணு பொண்ணு ரெண்டுமேஎங்களுக்கு முக்கியம்,0
vijay super samma po super laa bhaivara va,0
indha naadum nattu makkalum naasamai pogattum,0
release eppa aagum yennai nooki paayum thoota kooda va?🤣🤣,1
iyo iyo iyo thalabathi thanda  box office king  atha thanduna  sangu  tha.  santosh narayanan  bgm  theri,0
manasu nearaiva iruku ipadi oru padam vara porathu,0
ela nimsara,0
தமிழ்நாட்டை பொறுத்தவரை ஹீரோ முக்கியம் இல்லை கதை தான் முக்கியம் அதுவும் மக்களின் மனதை கவரந்த திரெளபதி பொங்கலுக்கு ரிலீஸ் பண்ண நல்லா இருக்கும்,0
"‍8k dislike.. , but awesome trailer",0
adhusari yengaya chinnathalaivi.. varalaru romba mukkiyam amaicharea..,0
mona bambuwa karath wadak na ..gana adu nokara,1
oh my fav surya k.v aananth,0
තොපිට මැසෙජ් දාලා කොච්චර දවස්ද මෝඩ මුසල ගොන් හැත්ත.,1
சீட்டிங் சீட்டாஸ்&ஓசிசோறு கைய்ஸ்: நாங்கள் நாடககாதல் கட்டபஞ்சாயத்துகள் செய்யவில்லை ஆதீ :,1
who is her after darbar first single,0
verithanam bgm  g.v ..  ..,0
thirumbi vadhuten nu sollu selvaragavanarasiyal entry,0
"godfather, thalapathy ellam kan munnala vanthutu pohuthu :-d",0
lv u viji sir. am in karnataka. bt am die hard fan of urs.,0
anushka heroine character super ah irundurukum,0
ithula like vangurathuku yenda ipdi comment panringa iyoo..,0
ungalku inum vayasakala ra dialouge ah pesiye 20 varusam aachu  inum ungalku vayasu aagala super star rajini star  sema style,0
යකෝ town වල ඉන්න අපිට 4g තියා 2g ත් නැ..,1
ennada dislike stuck aguthu.. kette kalvi nalarukkaa!,1
i'm waiting for the fiber connection to be activated.,0
hello enna surya anna name ma mention pannama teaser release pannirukenga .. !,1
my bestie thilini ranesha is a beautiful lady with a big heart,0
kekka bekka short film to feature film,0
එස් එල් ටී උබලා කීවේ දිස්ත්‍රික්ක කියලා අන්තිමට අපිට රටක්නෙ දුන්නේ.,0
zoom walata 165 package ekakuth denawanm heta idan hilpert gannawa sure,0
1m like ku waiting panravaga like pannuga,0
"petta marana mass piano cover. pudichirudhal like poodunga,pudikaati dislike poodunga.yenna neenga keetaalae yennaku poothum",1
vivegam trailer #491k da just 4 week,0
luv luv luv luv luv luv you chiyaan vikram the best actor for a reason,0
ending bgm omg #gvp is back with bang #dhanush #vetrimaaran 🤩,0
i wish you a very happy birthday sir.,0
கந்தர்வக்கோட்டை ஒன்றியம் வீரகுடி வெள்ளாளர் (veerakodi vellalar) சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள்..,0
enagada traileriye verithanama yeduthurukinga..apo padam..screen kiliya poguthu..semmaa thalaivaa,0
என் டா சாதி சாதி அழியுறியங்க எனக்கு இருக்குற மாதிரி உங்களுக்கு இருக்கு அவனுக்கு இருக்கு நீ தங்கத்துல ஆனா அரிசி கோதுமை சோளம் சர்க்கரை சாப்பிட்டு இருக்க அவன் வேற அரிசி கோதுமை சோளம் கம்பு சாப்டுற என் டா சமமாக நினைக்க மற்றிங்க,0
කොහොමද 90gb packege එක තත්ත්පර 90කින් ඉවරවෙනකොට..,0
thala super na  like  panuga,0
congratulations dr. nimal,0
free?? ane mona boruda mama ada kcc eke batz eken gatta router ekta rupial 2400k gatta😐,0
final ending vere level troll🤣🤣..naan arasiyalku varuvathu uruthi..,0
idhu puratchi padam ah flop confirm da,1
"aiyoo sema trailr..chnce ah illa..chuma theriya iruku..seekarm mov paakanum,..theri baby",0
kanyakumari nadar saamugam sarbaga padam vetri adaiya valthukal,0
yena  jathi payrumaiya ?nambalam  tamil sakotharkal !! yen kobam yellam tamil pandikai pongala kondada kudathu  sonan paru oru muta .. avan maylanthan !!,0
"💪🙆🙇 i'm strong, when i'm on your shoulders disanayake prabodhi lakshitha #batz #celebrationwithemoji",0
0:08 dsp = degree stopping paper,0
api okkoma chill widihata discuss karamu,0
draupathi film vivathika yarukkum thaguthi illai,0
end scene la siripa control panna mudiala..,0
intha vaati banner 250 feet varnum,0
යකෝ පරන අපිට බාප්පගෙ සැලකිනි.,1
padam confirm  blockbuster nu soldravanga  like podungo..,0
i done the payment today (april 09🙁😢).,0
අපෙ phone වලට data mart app එක වැඩ නෑ 😭,0
juzt started killing the like button,0
hey.i can't use bonus data..why ?,0
டிரைலர் மிகவும் அருமையாக உள்ளது..தல அஜித் ரசிகர்களின் சார்பாக வாழ்த்துகள் அண்ணா,0
this movie is like hollywood thala daa,0
i love both,0
one day ku views aey 2 m bigilku likes aey 3 million in 24 hours varum mokka pasangala,1
oya video fun ah 😂,0
mb500 k wath ona a nathnam wadak na,0
khomd,0
ane apitath signal naa,0
nte ammoo  ijathii look anna ellam vere leval  maranna waitting 4  laletta&suriya annan entry,0
திரைப்படம் வெற்றி பெற வன்னிய நண்பர்கள் சார்பாக வாழ்த்துக்கள்,0
happy mothers day.,0
thank you nimal!!,0
this time naata vittu odurathu uruthinu nenaikiraen.,1
